feature,coef,odds_ratio
EmploymentStatus_Retired,-0.11925900342841438,0.8875778852735149
SmartHomePackage_Yes,-0.12192931891308995,0.8852109339624609
MultipleLines_No,-0.15068252209416538,0.8601207246434781
AppLoginFrequency,-0.15511665527919705,0.8563152779589923
CloudStoragePlan_No,-0.16014733201361517,0.8520182501540633
Dependents_No,-0.1611380376218829,0.851174568884178
PhoneService_ Yes  ,-0.1647376022303737,0.8481162186971405
TechSupport_No,-0.16602039754308476,0.8470289567035527
OnlineBackup_Yes,-0.1718792624461823,0.8420808378114804
GamingBundle_Yes,-0.17696054209417744,0.8378128422110209
CloudStoragePlan_Yes,-0.19151134898027883,0.8257102540839175
LoyaltyProgramMember_infrequent_sklearn,-0.20308903601208325,0.8162055665016338
SmartHomePackage_No,-0.21206540093228396,0.8089117922511415
Partner_Yes,-0.21966013385679783,0.8027915932855105
LoyaltyProgramMember_Yes,-0.22283064356754734,0.8002503653659183
AnnualIncomeBracket_60–100k,-0.2307556583665519,0.7939334333290837
OnlineSecurity_Yes,-0.23841496157564926,0.7878756851152935
AnnualIncomeBracket_100–150k,-0.2414995939576162,0.7854491227145544
MultipleLines_Yes,-0.24386030765408218,0.7835970891333162
CustomerSatisfactionScore_infrequent_sklearn,-0.25893330804627485,0.7718744991455421
PhoneService_Yes,-0.30277220358621104,0.7387673657607177
CustomerSatisfactionScore_3.0,-0.31467883860741896,0.7300232919211421
EducationLevel_Bachelor,-0.3247402316686095,0.7227150677471462
StreamingTV_infrequent_sklearn,-0.3396606006589671,0.712011938140853
InternetService_DSL,-0.3597654020922086,0.6978400186776637
GamingBundle_No,-0.37984097298107067,0.6839701703013703
OnlineBackup_infrequent_sklearn,-0.389595502540559,0.677330797680677
PaymentMethod_Credit card (automatic),-0.4276035938875019,0.6520698480466296
StreamingMovies_No internet service,-0.4291260607559706,0.6510778486417783
OnlineSecurity_infrequent_sklearn,-0.4525724391286691,0.635989999941106
AverageDataUsage,-0.4656000996461117,0.6277582746145622
StreamingMovies_No,-0.47206784408058894,0.6237111963696339
TechSupport_Yes,-0.5440097509185181,0.580416255521535
AutoRenewal_infrequent_sklearn,-0.5770573351733149,0.5615483863321133
BillingCycle_Quarter,-0.6153707906008207,0.5404404679075112
DiscountApplied_infrequent_sklearn,-0.7163300033275385,0.4885419171362122
InternetService_No,-0.7473965632025864,0.47359793141905737
PaperlessBilling_infrequent_sklearn,-0.866535389803554,0.42040557041080523
DeviceProtection_No internet service,-0.9865353941477804,0.37286629048726155
InternationalCallingPlan_infrequent_sklearn,-1.2077935973243328,0.29885594908312885
Contract_Two year,-1.6313088156238051,0.19567330617945553
